to_ss	to_word	relation	from_ss	from_word	isvisual	cardinality	score
104400899	telemeter	hasSubstance	115100112	hardwood	 	""	0.8
114791988	caproic acid	hasSubstance	115010703	salt	 	""	0.8
111759853	rain tree	hasSubstance	113096779	lignum	 	""	1
103243625	drive line	hasSubstance	114625458	metal	 	""	0.8
102604480	Bermuda chub	hasSubstance	105267548	animal tissue	 	""	1
112270460	swamp white oak	hasSubstance	113097536	sapwood	 	""	1
112583126	fan palm	hasSubstance	114935319	lignin	 	""	1
114930165	laterite	hasSubstance	114586258	mixture	 	""	0.8
114928885	lactase	hasSubstance	115010703	salt	 	""	0.8
112191240	Montezuma	hasSubstance	105267345	tissue	 	""	1
101691217	legless lizard	hasSubstance	105267345	tissue	 	""	1
102874214	booth	hasSubstance	115098161	wood	 	""	0.8
103807780	napkin ring	hasSubstance	114580897	material	 	""	0.8
113108662	gymnospermous tree	hasSubstance	113097752	heartwood	 	""	1
112495146	locust tree	hasSubstance	114935319	lignin	 	""	1
102169497	leaf beetle	hasSubstance	105267345	tissue	 	""	1
103573154	input	hasSubstance	114625458	metal	 	""	0.8
103096593	contraceptive	hasSubstance	114586258	mixture	 	""	0.8
102944256	camlet	hasSubstance	114625458	metal	 	""	0.8
111442894	Santa Ana	hasSubstance	114647235	nitrogen	 	""	1
102168427	glowworm	hasSubstance	105267345	tissue	 	""	1
102434415	barren ground caribou	hasSubstance	105267345	tissue	 	""	1
114832770	messenger RNA	hasSubstance	114696331	ribose	 	""	1
110466060	preschooler	hasSubstance	105267345	tissue	 	""	1
110325957	moderationist	hasSubstance	105267345	tissue	 	""	1
111950686	corn marigold	hasSubstance	105267345	tissue	 	""	1
113057054	Boletus roxanae	hasSubstance	105267345	tissue	 	""	1
109741074	Alaska Native	hasSubstance	105267345	tissue	 	""	1
101698782	Chinese alligator	hasSubstance	105267548	animal tissue	 	""	1
104202282	shooting stick	hasSubstance	114738892	substrate	 	""	0.8
110640620	partner	hasSubstance	105267345	tissue	 	""	1
115018169	obidoxime chloride	hasSubstance	114994328	polymer	 	""	0.8
110749715	vet	hasSubstance	105267345	tissue	 	""	1
101951613	Hermissenda crassicornis	hasSubstance	105267345	tissue	 	""	1
112265600	Japanese oak	hasSubstance	105267345	tissue	 	""	1
103635330	lame	hasSubstance	104551950	warp	 	""	1
101348530	bacteria	hasSubstance	105267345	tissue	 	""	1
104058096	reading room	hasSubstance	107929519	coffee	 	""	0.8
102986160	cattle guard	hasSubstance	114586258	mixture	 	""	0.8
111895092	radish	hasSubstance	105267345	tissue	 	""	1
112545232	prairie bird`s-foot trefoil	hasSubstance	105267345	tissue	 	""	1
112641931	wild cherry	hasSubstance	113097752	heartwood	 	""	1
109334396	ground	hasSubstance	106256697	page	 	""	0.8
102513727	parr	hasSubstance	105267345	tissue	 	""	1
102350357	Ord kangaroo rat	hasSubstance	105267345	tissue	 	""	1
112529220	cork tree	hasSubstance	113097536	sapwood	 	""	1
110164025	headman	hasSubstance	105267345	tissue	 	""	1
102299846	death`s-head moth	hasSubstance	105267548	animal tissue	 	""	1
104557308	water-base paint	hasSubstance	114989820	pigment	 	""	1
109936215	colleague	hasSubstance	105267345	tissue	 	""	1
113112035	ming tree	hasSubstance	113097536	sapwood	 	""	1
107831955	bread sauce	hasSubstance	107825972	soy sauce	 	""	0.8
114669413	carnallite	hasSubstance	114652954	rubidium	 	""	1
104005340	prism	hasSubstance	114586258	mixture	 	""	0.8
103263076	eaves	hasSubstance	114586769	alloy	 	""	0.8
102435216	musk deer	hasSubstance	105267548	animal tissue	 	""	1
109940146	comedian	hasSubstance	105267345	tissue	 	""	1
103120778	court	hasSubstance	107929519	coffee	 	""	0.8
109678747	Adventist	hasSubstance	105267345	tissue	 	""	1
103292085	eolith	hasSubstance	114625458	metal	 	""	0.8
109228801	breach	hasSubstance	114586258	mixture	 	""	0.8
111758122	lightwood	hasSubstance	113097752	heartwood	 	""	1
111726433	Virginia thimbleweed	hasSubstance	105267345	tissue	 	""	1
112926039	Para rubber tree	hasSubstance	113097536	sapwood	 	""	1
110621140	sod	hasSubstance	105267345	tissue	 	""	1
109625676	nativist	hasSubstance	105267345	tissue	 	""	1
103650803	lazaretto	hasSubstance	114881303	glass	 	""	0.8
113108481	sapling	hasSubstance	114935319	lignin	 	""	1
108560415	honeymoon resort	hasSubstance	114648100	oxygen	 	""	0.8
109477890	wetland	hasSubstance	115098161	wood	 	""	0.8
114582716	micronutrient	hasSubstance	105399847	blood	 	""	0.8
115105008	virgin wool	hasSubstance	114752323	glucosamine	 	""	1
104464615	trackball	hasSubstance	114586258	mixture	 	""	0.8
110337134	muggee	hasSubstance	105267345	tissue	 	""	1
114893652	turpentine	hasSubstance	114897369	turpentine	 	""	1
103522100	hip roof	hasSubstance	115098161	wood	 	""	0.8
104081699	rest house	hasSubstance	114995541	sandstone	 	""	0.8
103490119	hand truck	hasSubstance	114648100	oxygen	 	""	0.8
102351343	meadow jumping mouse	hasSubstance	105267548	animal tissue	 	""	1
112804352	pickaback plant	hasSubstance	105267345	tissue	 	""	1
112301038	olive	hasSubstance	114625458	metal	 	""	0.8
101802159	maleo	hasSubstance	105267345	tissue	 	""	1
112365900	clusia	hasSubstance	113097536	sapwood	 	""	1
102088632	bluetick	hasSubstance	105267548	animal tissue	 	""	1
113108131	bean tree	hasSubstance	105267345	tissue	 	""	1
107924747	grapefruit juice	hasSubstance	105403149	serum	 	""	0.8
114775626	beryllium bronze	hasSubstance	115051705	solid solution	 	""	1
102826812	bell tent	hasSubstance	114586769	alloy	 	""	0.8
102903852	broadcloth	hasSubstance	104598965	woof	 	""	1
102377480	mare	hasSubstance	105267548	animal tissue	 	""	1
104246731	smokehouse	hasSubstance	114802450	steel	 	""	0.8
101982068	European spider crab	hasSubstance	105267548	animal tissue	 	""	1
112248574	bilberry	hasSubstance	113096779	lignum	 	""	1
114665469	alabaster	hasSubstance	114936905	calcium carbonate	 	""	1
106415922	copybook	hasSubstance	114632444	cadmium	 	""	0.8
112062626	Epipactis helleborine	hasSubstance	105267345	tissue	 	""	1
112088768	air potato	hasSubstance	105267345	tissue	 	""	1
104064401	record player	hasSubstance	114625458	metal	 	""	0.8
103435743	georgette	hasSubstance	114984973	coloring material	 	""	0.8
104314735	stent	hasSubstance	115098161	wood	 	""	0.8
115076180	tool steel	hasSubstance	115051705	solid solution	 	""	1
103095699	container ship	hasSubstance	114648100	oxygen	 	""	0.8
109889065	call girl	hasSubstance	105267345	tissue	 	""	1
103100240	convertible	hasSubstance	114591091	suspension	 	""	0.8
104390577	tank top	hasSubstance	105403149	serum	 	""	0.8
112421467	narcissus	hasSubstance	105267345	tissue	 	""	1
109645996	Achomawi	hasSubstance	105267345	tissue	 	""	1
111648268	red kauri	hasSubstance	113097752	heartwood	 	""	1
110053808	employee	hasSubstance	105267345	tissue	 	""	1
110278456	macebearer	hasSubstance	105267345	tissue	 	""	1
104256318	sodium-vapor lamp	hasSubstance	114580897	material	 	""	0.8
111694866	bullock`s heart	hasSubstance	113097536	sapwood	 	""	1
102969323	carriageway	hasSubstance	115019030	sand	 	""	0.8
112642435	heart cherry	hasSubstance	113097536	sapwood	 	""	1
107563509	leftovers	hasSubstance	114580897	material	 	""	0.8
104614655	ziggurat	hasSubstance	100019613	substance	 	""	0.8
112275489	chestnut oak	hasSubstance	113097752	heartwood	 	""	1
102757337	audiometer	hasSubstance	115098161	wood	 	""	0.8
104267165	spandex	hasSubstance	114586258	mixture	 	""	0.8
109238143	catch	hasSubstance	114586258	mixture	 	""	0.8
106411592	authority	hasSubstance	114580897	material	 	""	0.8
101333082	Arenaviridae	hasSubstance	105267345	tissue	 	""	1
104127117	safety net	hasSubstance	114586258	mixture	 	""	0.8
111620673	fir	hasSubstance	113096779	lignum	 	""	1
104057435	reaction-propulsion engine	hasSubstance	114640434	hydrogen	 	""	0.8
101730563	green snake	hasSubstance	105267345	tissue	 	""	1
105400601	blood group	hasSubstance	114742917	polypeptide	 	""	1
103853924	ordinary	hasSubstance	114648100	oxygen	 	""	0.8
103859280	outbuilding	hasSubstance	114696793	stone	 	""	0.8
114738052	cyclooxygenase-1	hasSubstance	114607521	acid	 	""	0.8
114606137	exonuclease	hasSubstance	114738892	substrate	 	""	0.8
103503097	coping	hasSubstance	114813182	clay	 	""	1
102378149	remount	hasSubstance	105267345	tissue	 	""	1
103517899	high altar	hasSubstance	114625458	metal	 	""	0.8
111649359	stinking cedar	hasSubstance	114935319	lignin	 	""	1
103434549	generic drug	hasSubstance	107649854	meat	 	""	0.8
101494882	smalleye hammerhead	hasSubstance	105267548	animal tissue	 	""	1
112223764	waratah	hasSubstance	113096779	lignum	 	""	1
105581932	cuticle	hasSubstance	114601829	amino acid	 	""	1
103517647	hideaway	hasSubstance	114586769	alloy	 	""	0.8
112529905	poison bush	hasSubstance	105267345	tissue	 	""	1
105262698	walrus mustache	hasSubstance	114742917	polypeptide	 	""	1
112855886	horsemint	hasSubstance	105267345	tissue	 	""	1
103004409	chambray	hasSubstance	106256697	page	 	""	0.8
109764598	aerialist	hasSubstance	105267345	tissue	 	""	1
103993180	pouch	hasSubstance	114984973	coloring material	 	""	0.8
104374735	synagogue	hasSubstance	114696793	stone	 	""	0.8
110549165	salter	hasSubstance	105267345	tissue	 	""	1
111977660	orange sneezeweed	hasSubstance	105267345	tissue	 	""	1
107251148	white pages	hasSubstance	106256697	page	 	""	0.8
111525480	west wind	hasSubstance	114647235	nitrogen	 	""	1
103456024	gravy boat	hasSubstance	107844042	milk	 	""	0.8
102396796	babirusa	hasSubstance	105267345	tissue	 	""	1
101932936	trichina	hasSubstance	105267345	tissue	 	""	1
103335333	fighting chair	hasSubstance	114625458	metal	 	""	0.8
111432262	breath	hasSubstance	114628920	argon	 	""	1
102584145	cardinal tetra	hasSubstance	105267548	animal tissue	 	""	1
103302671	exercise bike	hasSubstance	114580897	material	 	""	0.8
115060937	streptodornase	hasSubstance	114580897	material	 	""	0.8
103773504	missile	hasSubstance	104551375	warhead	 	""	0.995839170982333
112306270	Arizona ash	hasSubstance	113096779	lignum	 	""	1
103404900	furnace lining	hasSubstance	114823944	alumina	 	""	1
103161450	damper	hasSubstance	114973133	pad	 	""	0.8
112646072	jordan almond	hasSubstance	112652876	fruitwood	 	""	1
102230634	snowy tree cricket	hasSubstance	105267345	tissue	 	""	1
102397987	white-lipped peccary	hasSubstance	105267345	tissue	 	""	1
104522168	vase	hasSubstance	114881303	glass	 	""	0.8
103841666	office	hasSubstance	114635722	copper	 	""	0.8
102150885	Desmodus rotundus	hasSubstance	105267345	tissue	 	""	1
107603930	couverture	hasSubstance	105267345	tissue	 	""	1
111851839	cholla	hasSubstance	105267345	tissue	 	""	1
109409203	ribbon	hasSubstance	100019613	substance	 	""	0.8
110363913	beginner	hasSubstance	105267345	tissue	 	""	1
112490054	pride of barbados	hasSubstance	105267345	tissue	 	""	1
104259202	solenoid	hasSubstance	114875077	fuel	 	""	0.8
101647033	American green toad	hasSubstance	105267548	animal tissue	 	""	1
102119359	silver fox	hasSubstance	105267548	animal tissue	 	""	1
107728804	shell bean	hasSubstance	114728724	protein	 	""	1
115060937	streptodornase	hasSubstance	114738892	substrate	 	""	0.8
111991263	blazing star	hasSubstance	105267345	tissue	 	""	1
104008947	projection	hasSubstance	114625458	metal	 	""	0.8
107844042	milk	hasSubstance	105403427	plasma	 	""	0.8
112388652	Canada violet	hasSubstance	105267345	tissue	 	""	1
112187247	checkerbloom	hasSubstance	113096779	lignum	 	""	1
109367733	neck	hasSubstance	114586258	mixture	 	""	0.8
109851087	besieger	hasSubstance	105267345	tissue	 	""	1
112318378	walnut tree	hasSubstance	113096779	lignum	 	""	1
107688624	cornpone	hasSubstance	115106271	yeast	 	""	0.8
112125890	rice	hasSubstance	105267345	tissue	 	""	1
111619687	subalpine larch	hasSubstance	114935319	lignin	 	""	1
107652881	neck sweetbread	hasSubstance	114973303	palmitic acid	 	""	1
112741792	China tree	hasSubstance	113097752	heartwood	 	""	1
103858183	otoscope	hasSubstance	114625458	metal	 	""	0.8
112563045	Panama redwood tree	hasSubstance	113097752	heartwood	 	""	1
102519148	bullhead	hasSubstance	105267548	animal tissue	 	""	1
105217061	life form	hasSubstance	105432736	protoplasm	 	""	0.8
110396106	panelist	hasSubstance	105267345	tissue	 	""	1
102070174	Pacific bottlenose dolphin	hasSubstance	105267548	animal tissue	 	""	1
107680416	barmbrack	hasSubstance	107569106	flour	 	""	0.8
104108822	rope bridge	hasSubstance	106256697	page	 	""	0.8
102946753	campstool	hasSubstance	115098161	wood	 	""	0.8
101806143	peacock	hasSubstance	105267548	animal tissue	 	""	1
104589890	window screen	hasSubstance	104551950	warp	 	""	1
104329477	storeroom	hasSubstance	107929519	coffee	 	""	0.8
103260849	Eames chair	hasSubstance	114915184	ice	 	""	0.8
109715833	Israeli	hasSubstance	105267345	tissue	 	""	1
110729175	trier	hasSubstance	105267345	tissue	 	""	1
105402961	whole blood	hasSubstance	114601829	amino acid	 	""	1
110462217	power broker	hasSubstance	105267345	tissue	 	""	1
105295381	ligament	hasSubstance	114601829	amino acid	 	""	1
103517647	hideaway	hasSubstance	115098161	wood	 	""	0.8
112343092	hairy willowherb	hasSubstance	105267345	tissue	 	""	1
101314781	creepy-crawly	hasSubstance	105267345	tissue	 	""	1
103951213	Pitot-static tube	hasSubstance	115098161	wood	 	""	0.8
111743294	rush	hasSubstance	105267345	tissue	 	""	1
104133497	sanatorium	hasSubstance	114648100	oxygen	 	""	0.8
103236423	dredger	hasSubstance	114625458	metal	 	""	0.8
111936448	perennial salt marsh aster	hasSubstance	105267345	tissue	 	""	1
102161457	pollinator	hasSubstance	105267345	tissue	 	""	1
110121595	gas fitter	hasSubstance	105267345	tissue	 	""	1
105259726	chignon	hasSubstance	114742917	polypeptide	 	""	1
104558478	closet	hasSubstance	114648100	oxygen	 	""	0.8
110599354	simpleton	hasSubstance	105267345	tissue	 	""	1
111789962	nephthytis	hasSubstance	105267345	tissue	 	""	1
112585137	piassava palm	hasSubstance	114935319	lignin	 	""	1
114931795	magma	hasSubstance	114936226	limestone	 	""	0.8
101744100	reticulated python	hasSubstance	105267345	tissue	 	""	1
101325658	antler	hasSubstance	115098161	wood	 	""	0.8
103261395	early warning system	hasSubstance	114997529	preservative	 	""	0.8
110448157	point man	hasSubstance	105267345	tissue	 	""	1
103777568	Model T	hasSubstance	114625458	metal	 	""	0.8
111768816	bushman`s poison	hasSubstance	113096779	lignum	 	""	1
111536087	ornamental	hasSubstance	105267345	tissue	 	""	1
101747885	cobra	hasSubstance	105267345	tissue	 	""	1
101580490	common European jay	hasSubstance	105267548	animal tissue	 	""	1
111465297	bluster	hasSubstance	114647235	nitrogen	 	""	1
103188725	diaper	hasSubstance	114586258	mixture	 	""	0.8
107682316	dark bread	hasSubstance	107813107	salt	 	""	0.8
101816140	pin-tailed sandgrouse	hasSubstance	105267548	animal tissue	 	""	1
104146050	school	hasSubstance	114586769	alloy	 	""	0.8
101649556	southern spadefoot	hasSubstance	105267548	animal tissue	 	""	1
112932706	chervil	hasSubstance	105267345	tissue	 	""	1
110469979	Pretender	hasSubstance	105267345	tissue	 	""	1
110673946	suit	hasSubstance	105267345	tissue	 	""	1
103101375	cookhouse	hasSubstance	114830364	deoxyribonucleic acid	 	""	0.8
112228045	briarwood	hasSubstance	114625458	metal	 	""	0.8
102631475	black marlin	hasSubstance	105267548	animal tissue	 	""	1
110223994	joiner	hasSubstance	105267345	tissue	 	""	1
111461825	gale	hasSubstance	114841267	air	 	""	1
112228387	bell heather	hasSubstance	113096779	lignum	 	""	1
109366317	natural elevation	hasSubstance	114984973	coloring material	 	""	0.8
109851876	bettor	hasSubstance	105267345	tissue	 	""	1
112407715	Chinese elm	hasSubstance	113096779	lignum	 	""	1
114705533	sealing material	hasSubstance	114586258	mixture	 	""	0.8
101579028	crow	hasSubstance	105267345	tissue	 	""	1
112261808	American beech	hasSubstance	113097752	heartwood	 	""	1
104229363	skid road	hasSubstance	103900750	pavement	 	""	1
103789603	motley	hasSubstance	114984973	coloring material	 	""	0.8
104104770	romper	hasSubstance	114866889	fiber	 	""	0.8
111712282	tulip tree	hasSubstance	105267345	tissue	 	""	1
102861509	bodkin	hasSubstance	106256697	page	 	""	0.8
102566489	white perch	hasSubstance	105267345	tissue	 	""	1
103451473	graduate	hasSubstance	114625458	metal	 	""	0.8
104132603	samisen	hasSubstance	114984973	coloring material	 	""	0.8
107791937	flitch	hasSubstance	114601829	amino acid	 	""	1
112670962	Spanish tamarind	hasSubstance	113097752	heartwood	 	""	1
101667432	musk turtle	hasSubstance	105267548	animal tissue	 	""	1
112890928	corn speedwell	hasSubstance	105267345	tissue	 	""	1
102758134	auditorium	hasSubstance	114802450	steel	 	""	0.8
107760153	muscat	hasSubstance	107891726	wine	 	""	1
104312756	steering gear	hasSubstance	114973133	pad	 	""	0.8
112985420	truffle	hasSubstance	105267345	tissue	 	""	1
107656645	chuck short ribs	hasSubstance	114973303	palmitic acid	 	""	1
114590685	hydrogel	hasSubstance	114845743	water	 	""	0.8
105605944	serous membrane	hasSubstance	114982681	phospholipid	 	""	1
103357267	flannelette	hasSubstance	114586258	mixture	 	""	0.8
110552019	Saracen	hasSubstance	105267345	tissue	 	""	1
102455428	tatouay	hasSubstance	105267345	tissue	 	""	1
101897851	marabou	hasSubstance	114601829	amino acid	 	""	1
112220496	silver tree	hasSubstance	113097536	sapwood	 	""	1
111746600	Connarus guianensis	hasSubstance	113097536	sapwood	 	""	1
103731164	mattress	hasSubstance	114793921	cellulose	 	""	1
103107609	corduroy	hasSubstance	114813182	clay	 	""	0.8
112337922	cider gum	hasSubstance	105267345	tissue	 	""	1
110260473	lieutenant junior grade	hasSubstance	105267345	tissue	 	""	1
112407890	English elm	hasSubstance	113097536	sapwood	 	""	1
103506727	hearing aid	hasSubstance	106256697	page	 	""	0.8
103585875	ironing	hasSubstance	114625458	metal	 	""	0.8
102043333	sea swallow	hasSubstance	105267345	tissue	 	""	1
114867858	fibril	hasSubstance	115098161	wood	 	""	0.8
103254737	dulcimer	hasSubstance	114984973	coloring material	 	""	0.8
109709441	Castillian	hasSubstance	105267345	tissue	 	""	1
111461825	gale	hasSubstance	114646152	neon	 	""	1
107916437	old fashioned	hasSubstance	107907943	liqueur	 	""	0.8
114735953	coagulase	hasSubstance	114607521	acid	 	""	0.8
109366762	nature	hasSubstance	114813182	clay	 	""	0.8
104605163	worsted	hasSubstance	104598965	woof	 	""	1
111968931	boneset	hasSubstance	105267345	tissue	 	""	1
110283366	major	hasSubstance	105267345	tissue	 	""	1
112597798	thatch palm	hasSubstance	113097536	sapwood	 	""	1
112287836	Old World hop hornbeam	hasSubstance	105267345	tissue	 	""	1
110533780	road hog	hasSubstance	105399847	blood	 	""	0.8
109316454	island	hasSubstance	115019030	sand	 	""	0.995899402694814
114973833	papain	hasSubstance	114984973	coloring material	 	""	0.8
101680813	eastern fence lizard	hasSubstance	105267345	tissue	 	""	1
101538200	yellowhammer	hasSubstance	105267548	animal tissue	 	""	1
110398806	parapsychologist	hasSubstance	105267345	tissue	 	""	1
111611233	black pine	hasSubstance	113097536	sapwood	 	""	1
111484570	monsoon	hasSubstance	114628920	argon	 	""	1
111940349	Spanish needles	hasSubstance	105267345	tissue	 	""	1
112380305	idesia	hasSubstance	114935319	lignin	 	""	1
110334335	motormouth	hasSubstance	105267345	tissue	 	""	1
114975872	rice paper	hasSubstance	106256697	page	 	""	0.8
112654659	western blackberry	hasSubstance	105267345	tissue	 	""	1
110331841	mortician	hasSubstance	105267345	tissue	 	""	1
103970546	plush	hasSubstance	114625458	metal	 	""	0.8
104347754	submarine	hasSubstance	114648100	oxygen	 	""	0.8
104332580	straitjacket	hasSubstance	114580897	material	 	""	0.8
103410938	gaiter	hasSubstance	114625458	metal	 	""	0.8
110251329	lazybones	hasSubstance	105267345	tissue	 	""	1
103962525	platform	hasSubstance	114625458	metal	 	""	0.8
103298352	estradiol patch	hasSubstance	114959939	straw	 	""	1
107852614	Brie	hasSubstance	107670731	rind	 	""	0.8
